what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1296922350056
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1296922350497
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20101206-2100-H28-Beta2,"org.jboss.ide.eclipse.as.ui.mbeans",1296922350573
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1296922350592
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1296922350631
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1296922352147
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1296922352228
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1296922352418
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1296922352633
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296922352782
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1296922352844
opened,editor,org.jboss.tools.jst.jsp,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1296922352863
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1296922354220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922376245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922454778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922471624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922488308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922528456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922791416
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1296922804385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296922806245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923665596
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1296923670141
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.collapseAll",1296923670232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923672696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923689225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1296923689283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1296923689283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923701359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923739064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923748905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923847306
opened,editor,org.jboss.tools.jst.jsp,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1296923853455
error,log,,,"Failed to process class path in kb builder for project org.jboss.tools.jst.web.kb.internal.KbProject@541cc2",1296923933251
error,log,,,"Failed to process class path in kb builder for project org.jboss.tools.jst.web.kb.internal.KbProject@541cc2",1296923933252
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1296923933258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296923938108
started,bundle,org.eclipse.jem.proxy,2.0.300.v201006080510,"org.eclipse.jem.proxy",1296923947129
error,log,,,"Error initializing facelet registry entry",1296923948528
